19:36:41:227 [ALWAYS]	GUDE Logging Started
19:36:41:267 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
19:36:41:267 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
19:36:41:268 [ERROR]	Initialize resume cache pointer failure
19:36:41:269 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
19:36:41:269 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
19:36:44:491 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
19:36:44:493 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
19:36:44:493 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
19:36:44:493 [ERROR]	Initialize resume cache pointer failure
19:36:44:494 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
19:36:44:494 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
